,Topic,Sentiment Score,Source,Keywords,Subjectivity Score
208,2.0,0.123,CNN,"say, said, time, year, peopl, vaccin, first, like, also, work",0.47
209,15.0,0.103,CNN,"said, vaccin, get, say, peopl, day, covid-19, year, would, time",0.461
210,1.0,0.116,CNN,"said, say, peopl, year, one, time, day, first, like, get",0.393
211,2.0,0.086,CNN,"say, said, time, year, peopl, vaccin, first, like, also, work",0.403
212,7.0,0.115,CNN,"said, say, peopl, year, also, get, work, one, school, two",0.387
213,0.0,0.096,CNN,"said, peopl, say, vaccin, one, like, time, get, day, new",0.366
214,18.0,0.166,CNN,"said, say, peopl, year, like, get, time, n’t, covid-19, one",0.477
215,12.0,0.062,CNN,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.481
216,16.0,0.209,CNN,"said, vaccin, one, peopl, say, get, new, day, time, case",0.495
217,2.0,0.085,CNN,"say, said, time, year, peopl, vaccin, first, like, also, work",0.406
218,15.0,0.189,CNN,"said, vaccin, get, say, peopl, day, covid-19, year, would, time",0.3
219,14.0,-0.026,CNN,"said, vaccin, covid-19, one, peopl, case, report, work, also, say",0.483
220,4.0,0.2,CNN,"said, time, say, new, peopl, n’t, like, one, year, take",0.456
221,8.0,0.09,CNN,"said, say, one, case, also, n’t, day, new, time, get",0.344
222,6.0,0.046,CNN,"said, like, n’t, one, would, peopl, year, say, get, covid-19",0.432
223,17.0,0.077,CNN,"said, one, peopl, report, case, say, use, includ, time, vaccin",0.334
224,2.0,0.043,CNN,"say, said, time, year, peopl, vaccin, first, like, also, work",0.451
225,2.0,0.163,CNN,"say, said, time, year, peopl, vaccin, first, like, also, work",0.451
226,18.0,0.039,CNN,"said, say, peopl, year, like, get, time, n’t, covid-19, one",0.372
227,17.0,0.182,CNN,"said, one, peopl, report, case, say, use, includ, time, vaccin",0.371
228,7.0,0.134,CNN,"said, say, peopl, year, also, get, work, one, school, two",0.492
229,2.0,0.079,CNN,"say, said, time, year, peopl, vaccin, first, like, also, work",0.411
230,6.0,0.118,CNN,"said, like, n’t, one, would, peopl, year, say, get, covid-19",0.406
231,13.0,0.126,CNN,"said, vaccin, say, one, like, also, week, peopl, use, year",0.516
232,10.0,0.063,CNN,"said, say, peopl, year, also, vaccin, one, make, like, servic",0.333
233,3.0,0.173,CNN,"said, vaccin, say, peopl, new, report, time, one, also, year",0.532
234,16.0,0.034,CNN,"said, vaccin, one, peopl, say, get, new, day, time, case",0.332
235,7.0,0.13,CNN,"said, say, peopl, year, also, get, work, one, school, two",0.448
236,7.0,0.305,CNN,"said, say, peopl, year, also, get, work, one, school, two",0.516
237,12.0,0.096,CNN,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.321
238,16.0,-0.004,CNN,"said, vaccin, one, peopl, say, get, new, day, time, case",0.335
239,15.0,0.06,CNN,"said, vaccin, get, say, peopl, day, covid-19, year, would, time",0.362
240,6.0,0.105,CNN,"said, like, n’t, one, would, peopl, year, say, get, covid-19",0.418
241,7.0,0.106,CNN,"said, say, peopl, year, also, get, work, one, school, two",0.387
242,11.0,0.017,CNN,"said, one, time, like, day, say, peopl, work, also, year",0.358
243,11.0,0.053,CNN,"said, one, time, like, day, say, peopl, work, also, year",0.402
244,7.0,0.018,CNN,"said, say, peopl, year, also, get, work, one, school, two",0.459
245,11.0,0.066,CNN,"said, one, time, like, day, say, peopl, work, also, year",0.402
246,7.0,0.076,CNN,"said, say, peopl, year, also, get, work, one, school, two",0.498
247,14.0,0.0,CNN,"said, vaccin, covid-19, one, peopl, case, report, work, also, say",0.0
248,8.0,0.5,CNN,"said, say, one, case, also, n’t, day, new, time, get",0.5
249,16.0,0.1,CNN,"said, vaccin, one, peopl, say, get, new, day, time, case",0.403
250,17.0,0.306,CNN,"said, one, peopl, report, case, say, use, includ, time, vaccin",0.499
251,3.0,0.446,CNN,"said, vaccin, say, peopl, new, report, time, one, also, year",0.434
252,15.0,0.287,CNN,"said, vaccin, get, say, peopl, day, covid-19, year, would, time",0.433
253,16.0,0.0,CNN,"said, vaccin, one, peopl, say, get, new, day, time, case",0.0
254,8.0,0.167,CNN,"said, say, one, case, also, n’t, day, new, time, get",0.5
255,9.0,0.0,CNN,"said, peopl, year, vaccin, like, first, also, time, back, one",0.0
256,5.0,0.55,CNN,"said, one, n’t, year, also, time, would, vaccin, peopl, get",0.7
257,15.0,0.112,CNN,"said, vaccin, get, say, peopl, day, covid-19, year, would, time",0.252
258,9.0,0.15,CNN,"said, peopl, year, vaccin, like, first, also, time, back, one",0.35
259,5.0,0.115,CNN,"said, one, n’t, year, also, time, would, vaccin, peopl, get",0.596
260,2.0,0.135,CNN,"say, said, time, year, peopl, vaccin, first, like, also, work",0.393
261,13.0,0.055,CNN,"said, vaccin, say, one, like, also, week, peopl, use, year",0.346
262,17.0,0.308,CNN,"said, one, peopl, report, case, say, use, includ, time, vaccin",0.514
263,8.0,0.128,CNN,"said, say, one, case, also, n’t, day, new, time, get",0.449
264,5.0,0.026,CNN,"said, one, n’t, year, also, time, would, vaccin, peopl, get",0.426
265,16.0,0.164,CNN,"said, vaccin, one, peopl, say, get, new, day, time, case",0.502
266,16.0,0.16,CNN,"said, vaccin, one, peopl, say, get, new, day, time, case",0.45
267,5.0,0.06,CNN,"said, one, n’t, year, also, time, would, vaccin, peopl, get",0.312
268,5.0,-0.433,CNN,"said, one, n’t, year, also, time, would, vaccin, peopl, get",0.6
269,11.0,-0.034,CNN,"said, one, time, like, day, say, peopl, work, also, year",0.345
270,2.0,0.05,CNN,"say, said, time, year, peopl, vaccin, first, like, also, work",0.256
271,10.0,0.007,CNN,"said, say, peopl, year, also, vaccin, one, make, like, servic",0.262
272,2.0,0.103,CNN,"say, said, time, year, peopl, vaccin, first, like, also, work",0.509
273,15.0,0.048,CNN,"said, vaccin, get, say, peopl, day, covid-19, year, would, time",0.347
274,3.0,0.216,CNN,"said, vaccin, say, peopl, new, report, time, one, also, year",0.517
275,0.0,0.167,CNN,"said, peopl, say, vaccin, one, like, time, get, day, new",0.452
276,0.0,0.142,CNN,"said, peopl, say, vaccin, one, like, time, get, day, new",0.4
277,13.0,0.08,CNN,"said, vaccin, say, one, like, also, week, peopl, use, year",0.42
278,7.0,0.068,CNN,"said, say, peopl, year, also, get, work, one, school, two",0.199
279,1.0,0.053,CNN,"said, say, peopl, year, one, time, day, first, like, get",0.358
280,2.0,0.044,CNN,"say, said, time, year, peopl, vaccin, first, like, also, work",0.349
281,10.0,0.11,CNN,"said, say, peopl, year, also, vaccin, one, make, like, servic",0.301
282,10.0,0.177,CNN,"said, say, peopl, year, also, vaccin, one, make, like, servic",0.341
283,18.0,-0.006,CNN,"said, say, peopl, year, like, get, time, n’t, covid-19, one",0.456
284,2.0,0.03,CNN,"say, said, time, year, peopl, vaccin, first, like, also, work",0.393
285,3.0,-0.022,CNN,"said, vaccin, say, peopl, new, report, time, one, also, year",0.422
286,3.0,0.054,CNN,"said, vaccin, say, peopl, new, report, time, one, also, year",0.362
287,11.0,0.125,CNN,"said, one, time, like, day, say, peopl, work, also, year",0.329
288,1.0,-0.005,CNN,"said, say, peopl, year, one, time, day, first, like, get",0.374
289,18.0,0.063,CNN,"said, say, peopl, year, like, get, time, n’t, covid-19, one",0.276
290,2.0,0.075,CNN,"say, said, time, year, peopl, vaccin, first, like, also, work",0.402
291,14.0,0.024,CNN,"said, vaccin, covid-19, one, peopl, case, report, work, also, say",0.447
292,18.0,0.067,CNN,"said, say, peopl, year, like, get, time, n’t, covid-19, one",0.131
293,13.0,0.042,CNN,"said, vaccin, say, one, like, also, week, peopl, use, year",0.468
294,14.0,0.114,CNN,"said, vaccin, covid-19, one, peopl, case, report, work, also, say",0.433
295,7.0,0.004,CNN,"said, say, peopl, year, also, get, work, one, school, two",0.443
296,12.0,0.134,CNN,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.342
297,13.0,0.013,CNN,"said, vaccin, say, one, like, also, week, peopl, use, year",0.381
298,2.0,0.032,CNN,"say, said, time, year, peopl, vaccin, first, like, also, work",0.42
299,1.0,0.013,CNN,"said, say, peopl, year, one, time, day, first, like, get",0.392
300,13.0,0.038,CNN,"said, vaccin, say, one, like, also, week, peopl, use, year",0.4
301,5.0,0.236,CNN,"said, one, n’t, year, also, time, would, vaccin, peopl, get",0.448
302,2.0,0.168,CNN,"say, said, time, year, peopl, vaccin, first, like, also, work",0.489
303,2.0,0.136,CNN,"say, said, time, year, peopl, vaccin, first, like, also, work",0.365
304,11.0,0.216,CNN,"said, one, time, like, day, say, peopl, work, also, year",0.472
305,15.0,0.185,CNN,"said, vaccin, get, say, peopl, day, covid-19, year, would, time",0.417
306,17.0,0.091,CNN,"said, one, peopl, report, case, say, use, includ, time, vaccin",0.392
307,13.0,0.155,CNN,"said, vaccin, say, one, like, also, week, peopl, use, year",0.363
308,10.0,0.212,CNN,"said, say, peopl, year, also, vaccin, one, make, like, servic",0.47
309,3.0,0.202,CNN,"said, vaccin, say, peopl, new, report, time, one, also, year",0.471
310,14.0,0.071,CNN,"said, vaccin, covid-19, one, peopl, case, report, work, also, say",0.272
311,5.0,0.184,CNN,"said, one, n’t, year, also, time, would, vaccin, peopl, get",0.445
312,7.0,-0.027,CNN,"said, say, peopl, year, also, get, work, one, school, two",0.325
313,7.0,0.139,CNN,"said, say, peopl, year, also, get, work, one, school, two",0.382
314,10.0,0.319,CNN,"said, say, peopl, year, also, vaccin, one, make, like, servic",0.527
315,6.0,0.177,CNN,"said, like, n’t, one, would, peopl, year, say, get, covid-19",0.373
316,2.0,0.093,CNN,"say, said, time, year, peopl, vaccin, first, like, also, work",0.384
317,0.0,0.105,CNN,"said, peopl, say, vaccin, one, like, time, get, day, new",0.344
318,17.0,0.057,CNN,"said, one, peopl, report, case, say, use, includ, time, vaccin",0.424
319,18.0,0.093,CNN,"said, say, peopl, year, like, get, time, n’t, covid-19, one",0.481
320,11.0,0.129,CNN,"said, one, time, like, day, say, peopl, work, also, year",0.425
321,2.0,0.136,CNN,"say, said, time, year, peopl, vaccin, first, like, also, work",0.458
322,7.0,0.119,CNN,"said, say, peopl, year, also, get, work, one, school, two",0.446
323,16.0,0.162,CNN,"said, vaccin, one, peopl, say, get, new, day, time, case",0.469
324,7.0,0.093,CNN,"said, say, peopl, year, also, get, work, one, school, two",0.372
325,13.0,0.445,CNN,"said, vaccin, say, one, like, also, week, peopl, use, year",0.332
326,5.0,0.151,CNN,"said, one, n’t, year, also, time, would, vaccin, peopl, get",0.487
327,0.0,0.201,CNN,"said, peopl, say, vaccin, one, like, time, get, day, new",0.496
328,18.0,0.171,CNN,"said, say, peopl, year, like, get, time, n’t, covid-19, one",0.455
329,16.0,0.133,CNN,"said, vaccin, one, peopl, say, get, new, day, time, case",0.439
330,16.0,0.114,CNN,"said, vaccin, one, peopl, say, get, new, day, time, case",0.469
331,16.0,0.16,CNN,"said, vaccin, one, peopl, say, get, new, day, time, case",0.497
332,8.0,0.067,CNN,"said, say, one, case, also, n’t, day, new, time, get",0.433
333,18.0,0.178,CNN,"said, say, peopl, year, like, get, time, n’t, covid-19, one",0.54
334,0.0,0.219,CNN,"said, peopl, say, vaccin, one, like, time, get, day, new",0.501
335,15.0,0.095,CNN,"said, vaccin, get, say, peopl, day, covid-19, year, would, time",0.426
336,11.0,0.14,CNN,"said, one, time, like, day, say, peopl, work, also, year",0.401
337,13.0,0.094,CNN,"said, vaccin, say, one, like, also, week, peopl, use, year",0.476
338,10.0,0.057,CNN,"said, say, peopl, year, also, vaccin, one, make, like, servic",0.445
339,14.0,0.068,CNN,"said, vaccin, covid-19, one, peopl, case, report, work, also, say",0.394
340,8.0,0.387,CNN,"said, say, one, case, also, n’t, day, new, time, get",0.502
341,16.0,0.072,CNN,"said, vaccin, one, peopl, say, get, new, day, time, case",0.508
342,7.0,0.176,CNN,"said, say, peopl, year, also, get, work, one, school, two",0.45
343,17.0,0.187,CNN,"said, one, peopl, report, case, say, use, includ, time, vaccin",0.453
344,1.0,0.139,CNN,"said, say, peopl, year, one, time, day, first, like, get",0.386
345,8.0,0.132,CNN,"said, say, one, case, also, n’t, day, new, time, get",0.481
346,3.0,-0.0,CNN,"said, vaccin, say, peopl, new, report, time, one, also, year",0.421
347,2.0,-0.005,CNN,"say, said, time, year, peopl, vaccin, first, like, also, work",0.427
348,16.0,0.052,CNN,"said, vaccin, one, peopl, say, get, new, day, time, case",0.391
349,1.0,0.082,CNN,"said, say, peopl, year, one, time, day, first, like, get",0.465
350,1.0,0.065,CNN,"said, say, peopl, year, one, time, day, first, like, get",0.464
351,15.0,-0.003,CNN,"said, vaccin, get, say, peopl, day, covid-19, year, would, time",0.35
352,12.0,0.151,CNN,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.377
353,16.0,0.193,CNN,"said, vaccin, one, peopl, say, get, new, day, time, case",0.344
354,11.0,0.0,CNN,"said, one, time, like, day, say, peopl, work, also, year",0.0
355,16.0,0.193,CNN,"said, vaccin, one, peopl, say, get, new, day, time, case",0.47
356,11.0,0.186,CNN,"said, one, time, like, day, say, peopl, work, also, year",0.488
357,5.0,0.096,CNN,"said, one, n’t, year, also, time, would, vaccin, peopl, get",0.429
358,5.0,0.129,CNN,"said, one, n’t, year, also, time, would, vaccin, peopl, get",0.433
359,9.0,0.18,CNN,"said, peopl, year, vaccin, like, first, also, time, back, one",0.476
360,10.0,0.346,CNN,"said, say, peopl, year, also, vaccin, one, make, like, servic",0.489
361,14.0,0.374,CNN,"said, vaccin, covid-19, one, peopl, case, report, work, also, say",0.538
362,7.0,-0.475,CNN,"said, say, peopl, year, also, get, work, one, school, two",0.7
363,11.0,0.119,CNN,"said, one, time, like, day, say, peopl, work, also, year",0.578
364,3.0,0.36,CNN,"said, vaccin, say, peopl, new, report, time, one, also, year",0.524
365,12.0,0.246,CNN,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.538
366,14.0,0.264,CNN,"said, vaccin, covid-19, one, peopl, case, report, work, also, say",0.582
367,9.0,0.271,CNN,"said, peopl, year, vaccin, like, first, also, time, back, one",0.406
368,14.0,0.419,CNN,"said, vaccin, covid-19, one, peopl, case, report, work, also, say",0.68
369,14.0,0.025,CNN,"said, vaccin, covid-19, one, peopl, case, report, work, also, say",0.512
370,14.0,0.236,CNN,"said, vaccin, covid-19, one, peopl, case, report, work, also, say",0.412
371,13.0,0.126,CNN,"said, vaccin, say, one, like, also, week, peopl, use, year",0.308
372,2.0,0.052,CNN,"say, said, time, year, peopl, vaccin, first, like, also, work",0.499
373,2.0,0.333,CNN,"say, said, time, year, peopl, vaccin, first, like, also, work",0.558
374,14.0,0.153,CNN,"said, vaccin, covid-19, one, peopl, case, report, work, also, say",0.481
375,9.0,0.104,CNN,"said, peopl, year, vaccin, like, first, also, time, back, one",0.416
376,3.0,0.121,CNN,"said, vaccin, say, peopl, new, report, time, one, also, year",0.242
377,7.0,0.055,CNN,"said, say, peopl, year, also, get, work, one, school, two",0.368
378,1.0,-0.028,CNN,"said, say, peopl, year, one, time, day, first, like, get",0.643
379,4.0,0.264,CNN,"said, time, say, new, peopl, n’t, like, one, year, take",0.582
380,14.0,0.124,CNN,"said, vaccin, covid-19, one, peopl, case, report, work, also, say",0.48
381,12.0,0.148,CNN,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.493
382,11.0,0.086,CNN,"said, one, time, like, day, say, peopl, work, also, year",0.286
383,11.0,0.114,CNN,"said, one, time, like, day, say, peopl, work, also, year",0.554
384,13.0,0.063,CNN,"said, vaccin, say, one, like, also, week, peopl, use, year",0.562
385,16.0,0.257,CNN,"said, vaccin, one, peopl, say, get, new, day, time, case",0.525
386,14.0,0.154,CNN,"said, vaccin, covid-19, one, peopl, case, report, work, also, say",0.508
387,7.0,0.064,CNN,"said, say, peopl, year, also, get, work, one, school, two",0.268
388,10.0,0.054,CNN,"said, say, peopl, year, also, vaccin, one, make, like, servic",0.263
389,9.0,0.39,CNN,"said, peopl, year, vaccin, like, first, also, time, back, one",0.598
390,8.0,0.232,CNN,"said, say, one, case, also, n’t, day, new, time, get",0.386
391,6.0,0.024,CNN,"said, like, n’t, one, would, peopl, year, say, get, covid-19",0.551
392,16.0,0.104,CNN,"said, vaccin, one, peopl, say, get, new, day, time, case",0.336
393,10.0,0.15,CNN,"said, say, peopl, year, also, vaccin, one, make, like, servic",0.409
394,8.0,0.132,CNN,"said, say, one, case, also, n’t, day, new, time, get",0.495
395,15.0,0.068,CNN,"said, vaccin, get, say, peopl, day, covid-19, year, would, time",0.414
396,5.0,0.163,CNN,"said, one, n’t, year, also, time, would, vaccin, peopl, get",0.518
397,7.0,0.073,CNN,"said, say, peopl, year, also, get, work, one, school, two",0.358
398,2.0,0.177,CNN,"say, said, time, year, peopl, vaccin, first, like, also, work",0.447
399,7.0,0.171,CNN,"said, say, peopl, year, also, get, work, one, school, two",0.461
400,16.0,0.108,CNN,"said, vaccin, one, peopl, say, get, new, day, time, case",0.454
401,13.0,0.199,CNN,"said, vaccin, say, one, like, also, week, peopl, use, year",0.551
402,3.0,0.287,CNN,"said, vaccin, say, peopl, new, report, time, one, also, year",0.55
403,2.0,0.191,CNN,"say, said, time, year, peopl, vaccin, first, like, also, work",0.482
404,12.0,0.179,CNN,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.43
405,0.0,0.147,CNN,"said, peopl, say, vaccin, one, like, time, get, day, new",0.461
406,7.0,0.071,CNN,"said, say, peopl, year, also, get, work, one, school, two",0.461
407,15.0,0.022,CNN,"said, vaccin, get, say, peopl, day, covid-19, year, would, time",0.351
408,10.0,0.06,CNN,"said, say, peopl, year, also, vaccin, one, make, like, servic",0.358
409,7.0,0.069,CNN,"said, say, peopl, year, also, get, work, one, school, two",0.418
410,2.0,0.002,CNN,"say, said, time, year, peopl, vaccin, first, like, also, work",0.41
411,5.0,0.25,CNN,"said, one, n’t, year, also, time, would, vaccin, peopl, get",0.5
412,7.0,0.409,CNN,"said, say, peopl, year, also, get, work, one, school, two",0.455
413,5.0,0.053,CNN,"said, one, n’t, year, also, time, would, vaccin, peopl, get",0.4
414,8.0,0.141,CNN,"said, say, one, case, also, n’t, day, new, time, get",0.448
415,11.0,0.071,CNN,"said, one, time, like, day, say, peopl, work, also, year",0.461
416,13.0,0.131,CNN,"said, vaccin, say, one, like, also, week, peopl, use, year",0.419
417,7.0,0.135,CNN,"said, say, peopl, year, also, get, work, one, school, two",0.425
418,3.0,0.12,CNN,"said, vaccin, say, peopl, new, report, time, one, also, year",0.394
419,7.0,0.067,CNN,"said, say, peopl, year, also, get, work, one, school, two",0.404
420,1.0,0.13,CNN,"said, say, peopl, year, one, time, day, first, like, get",0.474
421,1.0,0.189,CNN,"said, say, peopl, year, one, time, day, first, like, get",0.43
422,16.0,0.228,CNN,"said, vaccin, one, peopl, say, get, new, day, time, case",0.442
423,16.0,0.149,CNN,"said, vaccin, one, peopl, say, get, new, day, time, case",0.373
424,11.0,0.123,CNN,"said, one, time, like, day, say, peopl, work, also, year",0.413
425,0.0,0.134,CNN,"said, peopl, say, vaccin, one, like, time, get, day, new",0.46
426,1.0,0.177,CNN,"said, say, peopl, year, one, time, day, first, like, get",0.506
427,0.0,0.17,CNN,"said, peopl, say, vaccin, one, like, time, get, day, new",0.433
428,14.0,0.144,CNN,"said, vaccin, covid-19, one, peopl, case, report, work, also, say",0.423
429,11.0,0.104,CNN,"said, one, time, like, day, say, peopl, work, also, year",0.297
430,7.0,0.121,CNN,"said, say, peopl, year, also, get, work, one, school, two",0.385
431,12.0,0.137,CNN,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.454
432,2.0,-0.032,CNN,"say, said, time, year, peopl, vaccin, first, like, also, work",0.528
433,16.0,0.063,CNN,"said, vaccin, one, peopl, say, get, new, day, time, case",0.419
