,Topic,Sentiment Score,Source,Keywords,Subjectivity Score
449,3.0,0.125,CNN,"said, vaccin, say, peopl, new, report, time, one, also, year",0.467
450,16.0,0.188,CNN,"said, vaccin, one, peopl, say, get, new, day, time, case",0.486
451,5.0,0.182,NBC,"said, one, n’t, year, also, time, would, vaccin, peopl, get",0.511
452,0.0,0.172,NBC,"said, peopl, say, vaccin, one, like, time, get, day, new",0.44
453,12.0,0.27,NBC,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.57
454,14.0,0.156,NBC,"said, vaccin, covid-19, one, peopl, case, report, work, also, say",0.432
455,17.0,0.159,NBC,"said, one, peopl, report, case, say, use, includ, time, vaccin",0.436
456,9.0,0.066,NBC,"said, peopl, year, vaccin, like, first, also, time, back, one",0.388
457,13.0,-0.072,NBC,"said, vaccin, say, one, like, also, week, peopl, use, year",0.464
458,15.0,0.057,NBC,"said, vaccin, get, say, peopl, day, covid-19, year, would, time",0.432
459,15.0,0.156,NBC,"said, vaccin, get, say, peopl, day, covid-19, year, would, time",0.465
460,16.0,0.122,NBC,"said, vaccin, one, peopl, say, get, new, day, time, case",0.415
461,15.0,0.085,NBC,"said, vaccin, get, say, peopl, day, covid-19, year, would, time",0.448
462,15.0,0.156,NBC,"said, vaccin, get, say, peopl, day, covid-19, year, would, time",0.431
463,10.0,0.117,NBC,"said, say, peopl, year, also, vaccin, one, make, like, servic",0.431
464,6.0,0.086,NBC,"said, like, n’t, one, would, peopl, year, say, get, covid-19",0.472
465,2.0,0.167,NBC,"say, said, time, year, peopl, vaccin, first, like, also, work",0.495
466,12.0,0.151,NBC,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.553
467,0.0,0.116,NBC,"said, peopl, say, vaccin, one, like, time, get, day, new",0.543
468,15.0,0.148,NBC,"said, vaccin, get, say, peopl, day, covid-19, year, would, time",0.477
469,16.0,0.162,NBC,"said, vaccin, one, peopl, say, get, new, day, time, case",0.533
470,4.0,0.018,NBC,"said, time, say, new, peopl, n’t, like, one, year, take",0.501
471,5.0,0.141,NBC,"said, one, n’t, year, also, time, would, vaccin, peopl, get",0.49
472,12.0,0.057,NBC,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.625
473,10.0,0.098,NBC,"said, say, peopl, year, also, vaccin, one, make, like, servic",0.498
474,16.0,0.241,NBC,"said, vaccin, one, peopl, say, get, new, day, time, case",0.583
475,12.0,0.116,NBC,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.563
476,18.0,0.189,NBC,"said, say, peopl, year, like, get, time, n’t, covid-19, one",0.456
477,11.0,-0.015,NBC,"said, one, time, like, day, say, peopl, work, also, year",0.663
478,12.0,0.213,NBC,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.566
479,12.0,-0.003,NBC,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.538
480,12.0,0.178,NBC,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.525
481,12.0,0.141,NBC,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.48
482,12.0,0.158,NBC,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.515
483,16.0,0.131,NBC,"said, vaccin, one, peopl, say, get, new, day, time, case",0.477
484,12.0,-0.0,NBC,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.589
485,11.0,0.168,NBC,"said, one, time, like, day, say, peopl, work, also, year",0.571
486,2.0,0.249,NBC,"say, said, time, year, peopl, vaccin, first, like, also, work",0.662
487,10.0,-0.131,NBC,"said, say, peopl, year, also, vaccin, one, make, like, servic",0.597
488,12.0,0.161,NBC,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.579
489,12.0,0.059,NBC,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.546
490,12.0,0.189,NBC,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.539
491,1.0,0.1,NBC,"said, say, peopl, year, one, time, day, first, like, get",0.426
492,12.0,0.069,NBC,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.407
493,13.0,0.174,NBC,"said, vaccin, say, one, like, also, week, peopl, use, year",0.569
494,2.0,0.105,NBC,"say, said, time, year, peopl, vaccin, first, like, also, work",0.495
495,8.0,0.057,NBC,"said, say, one, case, also, n’t, day, new, time, get",0.433
496,5.0,0.082,NBC,"said, one, n’t, year, also, time, would, vaccin, peopl, get",0.433
497,12.0,0.167,NBC,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.49
498,4.0,0.358,NBC,"said, time, say, new, peopl, n’t, like, one, year, take",0.505
499,4.0,0.217,NBC,"said, time, say, new, peopl, n’t, like, one, year, take",0.556
500,12.0,0.3,NBC,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.57
501,12.0,0.254,NBC,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.457
502,12.0,0.287,NBC,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.505
503,12.0,0.227,NBC,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.526
504,7.0,0.258,NBC,"said, say, peopl, year, also, get, work, one, school, two",0.488
505,4.0,0.042,NBC,"said, time, say, new, peopl, n’t, like, one, year, take",0.427
506,18.0,0.193,NBC,"said, say, peopl, year, like, get, time, n’t, covid-19, one",0.575
507,18.0,0.115,NBC,"said, say, peopl, year, like, get, time, n’t, covid-19, one",0.605
508,12.0,0.196,NBC,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.536
509,12.0,0.292,NBC,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.613
510,17.0,0.15,NBC,"said, one, peopl, report, case, say, use, includ, time, vaccin",0.714
511,8.0,0.137,NBC,"said, say, one, case, also, n’t, day, new, time, get",0.476
512,16.0,0.155,NBC,"said, vaccin, one, peopl, say, get, new, day, time, case",0.455
513,0.0,0.137,NBC,"said, peopl, say, vaccin, one, like, time, get, day, new",0.458
514,4.0,0.149,NBC,"said, time, say, new, peopl, n’t, like, one, year, take",0.447
515,0.0,0.136,NBC,"said, peopl, say, vaccin, one, like, time, get, day, new",0.453
516,9.0,0.625,NBC,"said, peopl, year, vaccin, like, first, also, time, back, one",0.558
517,15.0,0.149,NBC,"said, vaccin, get, say, peopl, day, covid-19, year, would, time",0.427
518,1.0,0.134,NBC,"said, say, peopl, year, one, time, day, first, like, get",0.415
519,15.0,0.146,NBC,"said, vaccin, get, say, peopl, day, covid-19, year, would, time",0.408
520,1.0,0.081,NBC,"said, say, peopl, year, one, time, day, first, like, get",0.429
521,13.0,0.0,NBC,"said, vaccin, say, one, like, also, week, peopl, use, year",0.0
522,18.0,0.185,NBC,"said, say, peopl, year, like, get, time, n’t, covid-19, one",0.444
523,9.0,0.2,NBC,"said, peopl, year, vaccin, like, first, also, time, back, one",0.2
524,4.0,0.207,NBC,"said, time, say, new, peopl, n’t, like, one, year, take",0.514
525,9.0,0.044,NBC,"said, peopl, year, vaccin, like, first, also, time, back, one",0.278
526,1.0,0.219,NBC,"said, say, peopl, year, one, time, day, first, like, get",0.478
527,12.0,0.2,NBC,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.476
528,14.0,0.248,NBC,"said, vaccin, covid-19, one, peopl, case, report, work, also, say",0.551
529,12.0,0.181,NBC,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.496
530,12.0,0.253,NBC,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.52
531,12.0,0.198,NBC,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.559
532,18.0,0.169,NBC,"said, say, peopl, year, like, get, time, n’t, covid-19, one",0.564
533,18.0,0.079,NBC,"said, say, peopl, year, like, get, time, n’t, covid-19, one",0.497
534,18.0,0.094,NBC,"said, say, peopl, year, like, get, time, n’t, covid-19, one",0.461
535,16.0,0.099,NBC,"said, vaccin, one, peopl, say, get, new, day, time, case",0.439
536,18.0,0.421,NBC,"said, say, peopl, year, like, get, time, n’t, covid-19, one",0.492
537,7.0,0.164,NBC,"said, say, peopl, year, also, get, work, one, school, two",0.422
538,0.0,0.122,NBC,"said, peopl, say, vaccin, one, like, time, get, day, new",0.506
539,15.0,0.196,NBC,"said, vaccin, get, say, peopl, day, covid-19, year, would, time",0.518
540,10.0,0.195,NBC,"said, say, peopl, year, also, vaccin, one, make, like, servic",0.442
541,5.0,0.5,NBC,"said, one, n’t, year, also, time, would, vaccin, peopl, get",0.5
542,0.0,0.2,NBC,"said, peopl, say, vaccin, one, like, time, get, day, new",0.8
543,10.0,0.095,NBC,"said, say, peopl, year, also, vaccin, one, make, like, servic",0.427
544,10.0,0.037,NBC,"said, say, peopl, year, also, vaccin, one, make, like, servic",0.378
545,12.0,0.017,NBC,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.427
546,10.0,0.129,NBC,"said, say, peopl, year, also, vaccin, one, make, like, servic",0.296
547,7.0,0.029,NBC,"said, say, peopl, year, also, get, work, one, school, two",0.437
548,13.0,0.015,NBC,"said, vaccin, say, one, like, also, week, peopl, use, year",0.54
549,3.0,0.084,NBC,"said, vaccin, say, peopl, new, report, time, one, also, year",0.38
550,6.0,0.071,NBC,"said, like, n’t, one, would, peopl, year, say, get, covid-19",0.38
551,16.0,0.096,NBC,"said, vaccin, one, peopl, say, get, new, day, time, case",0.402
552,1.0,-0.013,NBC,"said, say, peopl, year, one, time, day, first, like, get",0.286
553,13.0,0.042,NBC,"said, vaccin, say, one, like, also, week, peopl, use, year",0.324
554,15.0,0.184,NBC,"said, vaccin, get, say, peopl, day, covid-19, year, would, time",0.428
555,1.0,0.2,NBC,"said, say, peopl, year, one, time, day, first, like, get",0.4
556,5.0,-0.099,NBC,"said, one, n’t, year, also, time, would, vaccin, peopl, get",0.437
557,10.0,0.004,NBC,"said, say, peopl, year, also, vaccin, one, make, like, servic",0.375
558,9.0,0.09,NBC,"said, peopl, year, vaccin, like, first, also, time, back, one",0.363
559,17.0,-0.02,NBC,"said, one, peopl, report, case, say, use, includ, time, vaccin",0.172
560,10.0,-0.008,NBC,"said, say, peopl, year, also, vaccin, one, make, like, servic",0.337
561,0.0,0.177,NBC,"said, peopl, say, vaccin, one, like, time, get, day, new",0.473
562,8.0,0.14,NBC,"said, say, one, case, also, n’t, day, new, time, get",0.416
563,11.0,0.111,NBC,"said, one, time, like, day, say, peopl, work, also, year",0.41
564,9.0,0.004,NBC,"said, peopl, year, vaccin, like, first, also, time, back, one",0.463
565,9.0,0.115,NBC,"said, peopl, year, vaccin, like, first, also, time, back, one",0.45
566,5.0,0.152,NBC,"said, one, n’t, year, also, time, would, vaccin, peopl, get",0.522
567,0.0,0.087,NBC,"said, peopl, say, vaccin, one, like, time, get, day, new",0.407
568,0.0,0.043,NBC,"said, peopl, say, vaccin, one, like, time, get, day, new",0.431
569,16.0,0.078,NBC,"said, vaccin, one, peopl, say, get, new, day, time, case",0.369
570,0.0,0.079,NBC,"said, peopl, say, vaccin, one, like, time, get, day, new",0.44
571,10.0,0.067,NBC,"said, say, peopl, year, also, vaccin, one, make, like, servic",0.503
572,9.0,0.075,NBC,"said, peopl, year, vaccin, like, first, also, time, back, one",0.397
573,10.0,-0.001,NBC,"said, say, peopl, year, also, vaccin, one, make, like, servic",0.365
574,11.0,-0.045,NBC,"said, one, time, like, day, say, peopl, work, also, year",0.466
575,15.0,0.138,NBC,"said, vaccin, get, say, peopl, day, covid-19, year, would, time",0.542
576,9.0,-0.029,NBC,"said, peopl, year, vaccin, like, first, also, time, back, one",0.378
577,8.0,0.045,NBC,"said, say, one, case, also, n’t, day, new, time, get",0.453
578,11.0,0.108,NBC,"said, one, time, like, day, say, peopl, work, also, year",0.444
579,8.0,0.056,NBC,"said, say, one, case, also, n’t, day, new, time, get",0.371
580,1.0,0.468,NBC,"said, say, peopl, year, one, time, day, first, like, get",0.677
581,15.0,0.067,NBC,"said, vaccin, get, say, peopl, day, covid-19, year, would, time",0.15
582,8.0,0.068,NBC,"said, say, one, case, also, n’t, day, new, time, get",0.25
583,7.0,-0.06,NBC,"said, say, peopl, year, also, get, work, one, school, two",0.359
584,4.0,0.166,NBC,"said, time, say, new, peopl, n’t, like, one, year, take",0.409
585,14.0,0.07,NBC,"said, vaccin, covid-19, one, peopl, case, report, work, also, say",0.413
586,9.0,0.019,NBC,"said, peopl, year, vaccin, like, first, also, time, back, one",0.492
587,5.0,0.108,NBC,"said, one, n’t, year, also, time, would, vaccin, peopl, get",0.403
588,7.0,0.067,NBC,"said, say, peopl, year, also, get, work, one, school, two",0.495
589,8.0,0.067,NBC,"said, say, one, case, also, n’t, day, new, time, get",0.29
590,18.0,0.071,NBC,"said, say, peopl, year, like, get, time, n’t, covid-19, one",0.426
591,14.0,0.113,NBC,"said, vaccin, covid-19, one, peopl, case, report, work, also, say",0.435
592,7.0,0.115,NBC,"said, say, peopl, year, also, get, work, one, school, two",0.425
593,7.0,0.031,NBC,"said, say, peopl, year, also, get, work, one, school, two",0.217
594,8.0,-0.25,NBC,"said, say, one, case, also, n’t, day, new, time, get",0.2
595,15.0,0.068,NBC,"said, vaccin, get, say, peopl, day, covid-19, year, would, time",0.42
596,2.0,0.202,NBC,"say, said, time, year, peopl, vaccin, first, like, also, work",0.462
597,5.0,0.161,NBC,"said, one, n’t, year, also, time, would, vaccin, peopl, get",0.453
598,5.0,0.0,NBC,"said, one, n’t, year, also, time, would, vaccin, peopl, get",0.0
599,15.0,0.24,NBC,"said, vaccin, get, say, peopl, day, covid-19, year, would, time",0.465
600,8.0,-0.167,NBC,"said, say, one, case, also, n’t, day, new, time, get",0.433
601,18.0,0.103,NBC,"said, say, peopl, year, like, get, time, n’t, covid-19, one",0.528
602,8.0,-0.013,NBC,"said, say, one, case, also, n’t, day, new, time, get",0.403
603,9.0,0.079,NBC,"said, peopl, year, vaccin, like, first, also, time, back, one",0.456
604,8.0,0.167,NBC,"said, say, one, case, also, n’t, day, new, time, get",0.421
605,4.0,0.007,NBC,"said, time, say, new, peopl, n’t, like, one, year, take",0.396
606,0.0,0.05,NBC,"said, peopl, say, vaccin, one, like, time, get, day, new",0.311
607,9.0,0.2,NBC,"said, peopl, year, vaccin, like, first, also, time, back, one",0.436
608,11.0,0.077,NBC,"said, one, time, like, day, say, peopl, work, also, year",0.308
609,8.0,0.004,NBC,"said, say, one, case, also, n’t, day, new, time, get",0.342
610,7.0,0.097,NBC,"said, say, peopl, year, also, get, work, one, school, two",0.343
611,8.0,0.045,NBC,"said, say, one, case, also, n’t, day, new, time, get",0.361
612,12.0,0.193,NBC,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.459
613,12.0,0.211,NBC,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.477
614,2.0,0.051,NBC,"say, said, time, year, peopl, vaccin, first, like, also, work",0.521
615,8.0,0.1,NBC,"said, say, one, case, also, n’t, day, new, time, get",0.1
616,10.0,0.04,NBC,"said, say, peopl, year, also, vaccin, one, make, like, servic",0.408
617,1.0,0.161,NBC,"said, say, peopl, year, one, time, day, first, like, get",0.447
618,10.0,0.026,NBC,"said, say, peopl, year, also, vaccin, one, make, like, servic",0.412
619,10.0,0.149,NBC,"said, say, peopl, year, also, vaccin, one, make, like, servic",0.325
620,1.0,0.073,NBC,"said, say, peopl, year, one, time, day, first, like, get",0.433
621,6.0,0.218,NBC,"said, like, n’t, one, would, peopl, year, say, get, covid-19",0.488
622,8.0,0.032,NBC,"said, say, one, case, also, n’t, day, new, time, get",0.377
623,12.0,0.129,NBC,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.429
624,9.0,0.043,NBC,"said, peopl, year, vaccin, like, first, also, time, back, one",0.45
625,1.0,0.1,NBC,"said, say, peopl, year, one, time, day, first, like, get",0.424
626,12.0,0.167,NBC,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.476
627,6.0,0.038,NBC,"said, like, n’t, one, would, peopl, year, say, get, covid-19",0.296
628,12.0,0.157,NBC,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.35
629,1.0,-0.098,NBC,"said, say, peopl, year, one, time, day, first, like, get",0.389
630,18.0,0.161,NBC,"said, say, peopl, year, like, get, time, n’t, covid-19, one",0.434
631,4.0,-0.119,NBC,"said, time, say, new, peopl, n’t, like, one, year, take",0.496
632,7.0,0.167,NBC,"said, say, peopl, year, also, get, work, one, school, two",0.167
633,15.0,0.075,NBC,"said, vaccin, get, say, peopl, day, covid-19, year, would, time",0.467
634,15.0,0.125,NBC,"said, vaccin, get, say, peopl, day, covid-19, year, would, time",0.452
635,16.0,0.084,NBC,"said, vaccin, one, peopl, say, get, new, day, time, case",0.352
636,11.0,0.145,FOX,"said, one, time, like, day, say, peopl, work, also, year",0.315
637,10.0,0.047,FOX,"said, say, peopl, year, also, vaccin, one, make, like, servic",0.341
638,13.0,0.064,FOX,"said, vaccin, say, one, like, also, week, peopl, use, year",0.378
639,7.0,0.129,FOX,"said, say, peopl, year, also, get, work, one, school, two",0.436
640,9.0,0.074,FOX,"said, peopl, year, vaccin, like, first, also, time, back, one",0.408
641,3.0,0.118,FOX,"said, vaccin, say, peopl, new, report, time, one, also, year",0.447
642,6.0,0.013,FOX,"said, like, n’t, one, would, peopl, year, say, get, covid-19",0.43
643,12.0,0.137,FOX,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.445
644,18.0,0.04,FOX,"said, say, peopl, year, like, get, time, n’t, covid-19, one",0.475
645,11.0,-0.028,FOX,"said, one, time, like, day, say, peopl, work, also, year",0.416
646,13.0,0.03,FOX,"said, vaccin, say, one, like, also, week, peopl, use, year",0.287
647,5.0,0.055,FOX,"said, one, n’t, year, also, time, would, vaccin, peopl, get",0.342
648,8.0,0.116,FOX,"said, say, one, case, also, n’t, day, new, time, get",0.367
649,9.0,-0.154,FOX,"said, peopl, year, vaccin, like, first, also, time, back, one",0.364
650,15.0,0.078,FOX,"said, vaccin, get, say, peopl, day, covid-19, year, would, time",0.252
651,7.0,-0.059,FOX,"said, say, peopl, year, also, get, work, one, school, two",0.278
652,1.0,0.045,FOX,"said, say, peopl, year, one, time, day, first, like, get",0.408
653,2.0,0.117,FOX,"say, said, time, year, peopl, vaccin, first, like, also, work",0.4
654,18.0,0.049,FOX,"said, say, peopl, year, like, get, time, n’t, covid-19, one",0.35
655,9.0,-0.123,FOX,"said, peopl, year, vaccin, like, first, also, time, back, one",0.567
656,10.0,0.056,FOX,"said, say, peopl, year, also, vaccin, one, make, like, servic",0.366
657,5.0,0.081,FOX,"said, one, n’t, year, also, time, would, vaccin, peopl, get",0.408
658,4.0,0.313,FOX,"said, time, say, new, peopl, n’t, like, one, year, take",0.609
659,14.0,0.119,FOX,"said, vaccin, covid-19, one, peopl, case, report, work, also, say",0.467
660,15.0,0.046,FOX,"said, vaccin, get, say, peopl, day, covid-19, year, would, time",0.474
661,1.0,-0.04,FOX,"said, say, peopl, year, one, time, day, first, like, get",0.496
662,11.0,-0.003,FOX,"said, one, time, like, day, say, peopl, work, also, year",0.339
663,5.0,0.233,FOX,"said, one, n’t, year, also, time, would, vaccin, peopl, get",0.494
664,2.0,0.207,FOX,"say, said, time, year, peopl, vaccin, first, like, also, work",0.472
665,15.0,0.107,FOX,"said, vaccin, get, say, peopl, day, covid-19, year, would, time",0.48
666,14.0,0.031,FOX,"said, vaccin, covid-19, one, peopl, case, report, work, also, say",0.393
667,5.0,0.114,FOX,"said, one, n’t, year, also, time, would, vaccin, peopl, get",0.456
668,12.0,0.288,FOX,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.557
669,4.0,0.159,FOX,"said, time, say, new, peopl, n’t, like, one, year, take",0.294
670,2.0,0.276,FOX,"say, said, time, year, peopl, vaccin, first, like, also, work",0.449
671,7.0,0.177,FOX,"said, say, peopl, year, also, get, work, one, school, two",0.545
672,0.0,0.145,FOX,"said, peopl, say, vaccin, one, like, time, get, day, new",0.42
673,11.0,0.017,FOX,"said, one, time, like, day, say, peopl, work, also, year",0.401
674,7.0,0.124,FOX,"said, say, peopl, year, also, get, work, one, school, two",0.314
675,6.0,-0.034,FOX,"said, like, n’t, one, would, peopl, year, say, get, covid-19",0.413
676,15.0,0.195,FOX,"said, vaccin, get, say, peopl, day, covid-19, year, would, time",0.457
677,6.0,0.051,FOX,"said, like, n’t, one, would, peopl, year, say, get, covid-19",0.426
678,1.0,0.148,FOX,"said, say, peopl, year, one, time, day, first, like, get",0.38
679,18.0,0.195,FOX,"said, say, peopl, year, like, get, time, n’t, covid-19, one",0.736
680,10.0,0.076,FOX,"said, say, peopl, year, also, vaccin, one, make, like, servic",0.402
681,10.0,0.098,FOX,"said, say, peopl, year, also, vaccin, one, make, like, servic",0.496
682,15.0,0.168,FOX,"said, vaccin, get, say, peopl, day, covid-19, year, would, time",0.417
683,18.0,0.078,FOX,"said, say, peopl, year, like, get, time, n’t, covid-19, one",0.476
684,5.0,0.154,FOX,"said, one, n’t, year, also, time, would, vaccin, peopl, get",0.508
685,2.0,0.054,FOX,"say, said, time, year, peopl, vaccin, first, like, also, work",0.319
686,8.0,0.029,FOX,"said, say, one, case, also, n’t, day, new, time, get",0.316
687,2.0,-0.018,FOX,"say, said, time, year, peopl, vaccin, first, like, also, work",0.365
688,10.0,0.114,FOX,"said, say, peopl, year, also, vaccin, one, make, like, servic",0.384
689,12.0,0.244,FOX,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.53
690,14.0,0.05,FOX,"said, vaccin, covid-19, one, peopl, case, report, work, also, say",0.404
691,3.0,-0.017,FOX,"said, vaccin, say, peopl, new, report, time, one, also, year",0.41
692,2.0,0.002,FOX,"say, said, time, year, peopl, vaccin, first, like, also, work",0.518
693,17.0,-0.033,FOX,"said, one, peopl, report, case, say, use, includ, time, vaccin",0.2
694,6.0,0.064,FOX,"said, like, n’t, one, would, peopl, year, say, get, covid-19",0.421
695,9.0,0.034,FOX,"said, peopl, year, vaccin, like, first, also, time, back, one",0.42
696,7.0,0.035,FOX,"said, say, peopl, year, also, get, work, one, school, two",0.436
697,10.0,0.025,FOX,"said, say, peopl, year, also, vaccin, one, make, like, servic",0.358
698,15.0,-0.045,FOX,"said, vaccin, get, say, peopl, day, covid-19, year, would, time",0.449
699,8.0,0.087,FOX,"said, say, one, case, also, n’t, day, new, time, get",0.466
700,1.0,-0.061,FOX,"said, say, peopl, year, one, time, day, first, like, get",0.324
701,3.0,0.102,FOX,"said, vaccin, say, peopl, new, report, time, one, also, year",0.316
702,10.0,0.03,FOX,"said, say, peopl, year, also, vaccin, one, make, like, servic",0.286
703,9.0,0.043,FOX,"said, peopl, year, vaccin, like, first, also, time, back, one",0.197
704,5.0,0.173,FOX,"said, one, n’t, year, also, time, would, vaccin, peopl, get",0.394
705,0.0,0.136,FOX,"said, peopl, say, vaccin, one, like, time, get, day, new",0.385
706,1.0,0.217,FOX,"said, say, peopl, year, one, time, day, first, like, get",0.504
707,1.0,0.141,FOX,"said, say, peopl, year, one, time, day, first, like, get",0.493
708,4.0,0.214,FOX,"said, time, say, new, peopl, n’t, like, one, year, take",0.46
709,1.0,0.173,FOX,"said, say, peopl, year, one, time, day, first, like, get",0.382
710,8.0,0.172,FOX,"said, say, one, case, also, n’t, day, new, time, get",0.342
711,6.0,0.257,FOX,"said, like, n’t, one, would, peopl, year, say, get, covid-19",0.467
712,5.0,0.296,FOX,"said, one, n’t, year, also, time, would, vaccin, peopl, get",0.4
713,11.0,0.257,FOX,"said, one, time, like, day, say, peopl, work, also, year",0.533
714,17.0,0.174,FOX,"said, one, peopl, report, case, say, use, includ, time, vaccin",0.437
715,4.0,0.112,FOX,"said, time, say, new, peopl, n’t, like, one, year, take",0.346
716,5.0,0.196,FOX,"said, one, n’t, year, also, time, would, vaccin, peopl, get",0.394
717,2.0,0.079,FOX,"say, said, time, year, peopl, vaccin, first, like, also, work",0.42
718,6.0,0.085,FOX,"said, like, n’t, one, would, peopl, year, say, get, covid-19",0.421
719,12.0,0.149,FOX,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.385
720,1.0,0.132,FOX,"said, say, peopl, year, one, time, day, first, like, get",0.41
721,7.0,0.111,FOX,"said, say, peopl, year, also, get, work, one, school, two",0.561
722,15.0,0.157,FOX,"said, vaccin, get, say, peopl, day, covid-19, year, would, time",0.454
723,10.0,0.165,FOX,"said, say, peopl, year, also, vaccin, one, make, like, servic",0.463
724,3.0,0.186,FOX,"said, vaccin, say, peopl, new, report, time, one, also, year",0.389
725,8.0,0.133,FOX,"said, say, one, case, also, n’t, day, new, time, get",0.393
726,8.0,0.165,FOX,"said, say, one, case, also, n’t, day, new, time, get",0.458
727,10.0,-0.092,FOX,"said, say, peopl, year, also, vaccin, one, make, like, servic",0.507
728,7.0,-0.008,FOX,"said, say, peopl, year, also, get, work, one, school, two",0.308
729,16.0,0.094,FOX,"said, vaccin, one, peopl, say, get, new, day, time, case",0.394
730,0.0,0.079,FOX,"said, peopl, say, vaccin, one, like, time, get, day, new",0.4
731,13.0,0.09,FOX,"said, vaccin, say, one, like, also, week, peopl, use, year",0.482
732,5.0,0.149,FOX,"said, one, n’t, year, also, time, would, vaccin, peopl, get",0.362
733,12.0,0.199,FOX,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.564
734,11.0,0.132,FOX,"said, one, time, like, day, say, peopl, work, also, year",0.45
735,16.0,0.124,FOX,"said, vaccin, one, peopl, say, get, new, day, time, case",0.502
736,7.0,0.166,FOX,"said, say, peopl, year, also, get, work, one, school, two",0.441
737,12.0,-0.03,FOX,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.653
738,11.0,0.158,FOX,"said, one, time, like, day, say, peopl, work, also, year",0.841
739,17.0,0.12,FOX,"said, one, peopl, report, case, say, use, includ, time, vaccin",0.346
740,17.0,0.125,FOX,"said, one, peopl, report, case, say, use, includ, time, vaccin",0.353
741,15.0,0.079,FOX,"said, vaccin, get, say, peopl, day, covid-19, year, would, time",0.379
742,6.0,0.062,FOX,"said, like, n’t, one, would, peopl, year, say, get, covid-19",0.541
743,15.0,0.108,FOX,"said, vaccin, get, say, peopl, day, covid-19, year, would, time",0.494
744,5.0,0.077,FOX,"said, one, n’t, year, also, time, would, vaccin, peopl, get",0.369
745,15.0,0.092,FOX,"said, vaccin, get, say, peopl, day, covid-19, year, would, time",0.379
746,14.0,0.076,FOX,"said, vaccin, covid-19, one, peopl, case, report, work, also, say",0.568
747,14.0,0.084,FOX,"said, vaccin, covid-19, one, peopl, case, report, work, also, say",0.35
748,0.0,0.159,FOX,"said, peopl, say, vaccin, one, like, time, get, day, new",0.384
749,8.0,0.125,FOX,"said, say, one, case, also, n’t, day, new, time, get",0.36
750,10.0,0.176,FOX,"said, say, peopl, year, also, vaccin, one, make, like, servic",0.536
751,14.0,0.0,FOX,"said, vaccin, covid-19, one, peopl, case, report, work, also, say",0.2
752,9.0,0.286,FOX,"said, peopl, year, vaccin, like, first, also, time, back, one",0.536
753,6.0,0.117,FOX,"said, like, n’t, one, would, peopl, year, say, get, covid-19",0.35
754,15.0,0.321,FOX,"said, vaccin, get, say, peopl, day, covid-19, year, would, time",0.292
755,3.0,0.036,FOX,"said, vaccin, say, peopl, new, report, time, one, also, year",0.277
756,8.0,0.068,FOX,"said, say, one, case, also, n’t, day, new, time, get",0.227
757,0.0,0.094,FOX,"said, peopl, say, vaccin, one, like, time, get, day, new",0.304
758,11.0,0.4,FOX,"said, one, time, like, day, say, peopl, work, also, year",0.5
759,1.0,0.077,FOX,"said, say, peopl, year, one, time, day, first, like, get",0.438
760,4.0,0.136,FOX,"said, time, say, new, peopl, n’t, like, one, year, take",0.455
761,1.0,-0.05,FOX,"said, say, peopl, year, one, time, day, first, like, get",0.292
762,16.0,0.075,FOX,"said, vaccin, one, peopl, say, get, new, day, time, case",0.275
